category,probe_id,query_id,target_id,prompt,mask_ratio,mask_type,masked_patch_count,reference_top1_id,baseline_reference_similarity,occluded_reference_similarity,reference_similarity_drop,occluded_reference_rank,reference_rank_increase,baseline_target_similarity,occluded_target_similarity,target_similarity_drop,baseline_target_rank,occluded_target_rank,target_rank_increase,query_embedding_cosine,query_embedding_cosine_drop
shirt,shirt_q01,B003JY6WY2,B004JHRX5A,is gray colored with green and yellow design [SEP] Is grey in color,0.1,high,5,B004G71M28,0.35160768032073975,0.3458103537559509,0.005797326564788818,3,2,0.11616495996713638,0.10523001104593277,0.010934948921203613,873,863,-10,0.9500930309295654,0.04990696907043457
shirt,shirt_q01,B003JY6WY2,B004JHRX5A,is gray colored with green and yellow design [SEP] Is grey in color,0.1,low,5,B004G71M28,0.35160768032073975,0.3555554449558258,-0.00394776463508606,1,0,0.11616495996713638,0.11890830844640732,-0.002743348479270935,873,839,-34,0.9984164237976074,0.0015835762023925781
shirt,shirt_q01,B003JY6WY2,B004JHRX5A,is gray colored with green and yellow design [SEP] Is grey in color,0.2,high,10,B004G71M28,0.35160768032073975,0.34651127457618713,0.005096405744552612,2,1,0.11616495996713638,0.10755595564842224,0.008609004318714142,873,835,-38,0.9493007659912109,0.05069923400878906
shirt,shirt_q01,B003JY6WY2,B004JHRX5A,is gray colored with green and yellow design [SEP] Is grey in color,0.2,low,10,B004G71M28,0.35160768032073975,0.35881319642066956,-0.00720551609992981,1,0,0.11616495996713638,0.12009069323539734,-0.003925733268260956,873,833,-40,0.9969602227210999,0.0030397772789001465
shirt,shirt_q01,B003JY6WY2,B004JHRX5A,is gray colored with green and yellow design [SEP] Is grey in color,0.3,high,15,B004G71M28,0.35160768032073975,0.343150794506073,0.008456885814666748,4,3,0.11616495996713638,0.10628896206617355,0.00987599790096283,873,843,-30,0.946899950504303,0.05310004949569702
shirt,shirt_q01,B003JY6WY2,B004JHRX5A,is gray colored with green and yellow design [SEP] Is grey in color,0.3,low,15,B004G71M28,0.35160768032073975,0.35832729935646057,-0.006719619035720825,2,1,0.11616495996713638,0.11876620352268219,-0.002601243555545807,873,848,-25,0.9956328272819519,0.004367172718048096
shirt,shirt_q02,B0051D0X2Q,B003INE0Q6,is blue plaid with white button shirt [SEP] is lighter,0.1,high,5,B008TOOBWW,0.3826928734779358,0.38465315103530884,-0.001960277557373047,1,0,0.32545071840286255,0.3228667974472046,0.002583920955657959,18,20,2,0.9986148476600647,0.0013851523399353027
shirt,shirt_q02,B0051D0X2Q,B003INE0Q6,is blue plaid with white button shirt [SEP] is lighter,0.1,low,5,B008TOOBWW,0.3826928734779358,0.38738536834716797,-0.004692494869232178,1,0,0.32545071840286255,0.32752859592437744,-0.0020778775215148926,18,17,-1,0.9982802867889404,0.0017197132110595703
shirt,shirt_q02,B0051D0X2Q,B003INE0Q6,is blue plaid with white button shirt [SEP] is lighter,0.2,high,10,B008TOOBWW,0.3826928734779358,0.38338690996170044,-0.0006940364837646484,1,0,0.32545071840286255,0.32262879610061646,0.0028219223022460938,18,22,4,0.9986018538475037,0.0013981461524963379
shirt,shirt_q02,B0051D0X2Q,B003INE0Q6,is blue plaid with white button shirt [SEP] is lighter,0.2,low,10,B008TOOBWW,0.3826928734779358,0.3868923783302307,-0.004199504852294922,1,0,0.32545071840286255,0.33136945962905884,-0.005918741226196289,18,16,-2,0.9985817670822144,0.0014182329177856445
shirt,shirt_q02,B0051D0X2Q,B003INE0Q6,is blue plaid with white button shirt [SEP] is lighter,0.3,high,15,B008TOOBWW,0.3826928734779358,0.39094725251197815,-0.008254379034042358,1,0,0.32545071840286255,0.33271002769470215,-0.0072593092918396,18,17,-1,0.9961456656455994,0.0038543343544006348
shirt,shirt_q02,B0051D0X2Q,B003INE0Q6,is blue plaid with white button shirt [SEP] is lighter,0.3,low,15,B008TOOBWW,0.3826928734779358,0.38863861560821533,-0.005945742130279541,1,0,0.32545071840286255,0.3309429883956909,-0.005492269992828369,18,15,-3,0.9977977275848389,0.002202272415161133
shirt,shirt_q03,B00B31W2TC,B00B2JD2CQ,is lighter with shorter sleeves [SEP] is less striped,0.1,high,5,B00BS7FFQ8,0.3460381031036377,0.33797964453697205,0.00805845856666565,1,0,0.30416613817214966,0.3053891360759735,-0.0012229979038238525,12,11,-1,0.9969643354415894,0.0030356645584106445
shirt,shirt_q03,B00B31W2TC,B00B2JD2CQ,is lighter with shorter sleeves [SEP] is less striped,0.1,low,5,B00BS7FFQ8,0.3460381031036377,0.34424009919166565,0.001798003911972046,1,0,0.30416613817214966,0.3041996955871582,-3.355741500854492e-05,12,13,1,0.9991055727005005,0.0008944272994995117
shirt,shirt_q03,B00B31W2TC,B00B2JD2CQ,is lighter with shorter sleeves [SEP] is less striped,0.2,high,10,B00BS7FFQ8,0.3460381031036377,0.3536304831504822,-0.007592380046844482,1,0,0.30416613817214966,0.2983272969722748,0.005838841199874878,12,13,1,0.9938471913337708,0.006152808666229248
shirt,shirt_q03,B00B31W2TC,B00B2JD2CQ,is lighter with shorter sleeves [SEP] is less striped,0.2,low,10,B00BS7FFQ8,0.3460381031036377,0.34411340951919556,0.0019246935844421387,1,0,0.30416613817214966,0.3055184483528137,-0.0013523101806640625,12,12,0,0.9968644976615906,0.003135502338409424
shirt,shirt_q03,B00B31W2TC,B00B2JD2CQ,is lighter with shorter sleeves [SEP] is less striped,0.3,high,15,B00BS7FFQ8,0.3460381031036377,0.35490646958351135,-0.008868366479873657,1,0,0.30416613817214966,0.30749356746673584,-0.0033274292945861816,12,13,1,0.9930843710899353,0.006915628910064697
shirt,shirt_q03,B00B31W2TC,B00B2JD2CQ,is lighter with shorter sleeves [SEP] is less striped,0.3,low,15,B00BS7FFQ8,0.3460381031036377,0.339774489402771,0.006263613700866699,1,0,0.30416613817214966,0.3053101897239685,-0.0011440515518188477,12,10,-2,0.9957952499389648,0.004204750061035156
shirt,shirt_q04,B002UQJENQ,B004KPD8FA,is a black t shirt [SEP] has text in red,0.1,high,5,B002TSURL8,0.3296583890914917,0.3437592387199402,-0.014100849628448486,1,0,0.18493127822875977,0.20709244906902313,-0.022161170840263367,86,61,-25,0.9861463904380798,0.013853609561920166
shirt,shirt_q04,B002UQJENQ,B004KPD8FA,is a black t shirt [SEP] has text in red,0.1,low,5,B002TSURL8,0.3296583890914917,0.3379015326499939,-0.008243143558502197,1,0,0.18493127822875977,0.19457417726516724,-0.00964289903640747,86,78,-8,0.9979904890060425,0.0020095109939575195
shirt,shirt_q04,B002UQJENQ,B004KPD8FA,is a black t shirt [SEP] has text in red,0.2,high,10,B002TSURL8,0.3296583890914917,0.306379109621048,0.023279279470443726,5,4,0.18493127822875977,0.22956013679504395,-0.04462885856628418,86,31,-55,0.9544556736946106,0.045544326305389404
shirt,shirt_q04,B002UQJENQ,B004KPD8FA,is a black t shirt [SEP] has text in red,0.2,low,10,B002TSURL8,0.3296583890914917,0.3306112289428711,-0.0009528398513793945,1,0,0.18493127822875977,0.19431471824645996,-0.009383440017700195,86,67,-19,0.998218297958374,0.0017817020416259766
shirt,shirt_q04,B002UQJENQ,B004KPD8FA,is a black t shirt [SEP] has text in red,0.3,high,15,B002TSURL8,0.3296583890914917,0.3044877052307129,0.02517068386077881,5,4,0.18493127822875977,0.23112669587135315,-0.046195417642593384,86,34,-52,0.9463934898376465,0.053606510162353516
shirt,shirt_q04,B002UQJENQ,B004KPD8FA,is a black t shirt [SEP] has text in red,0.3,low,15,B002TSURL8,0.3296583890914917,0.32853394746780396,0.0011244416236877441,1,0,0.18493127822875977,0.18874743580818176,-0.003816157579421997,86,74,-12,0.9987069964408875,0.0012930035591125488
shirt,shirt_q05,B005CQAIYK,B001B14HE2,is a lighter color and has shorter sleeves [SEP] Is white with shorter sleeves.,0.1,high,5,B000BZGDDM,0.3680274486541748,0.3620123267173767,0.006015121936798096,1,0,0.18989139795303345,0.1854068636894226,0.00448453426361084,150,164,14,0.9948676228523254,0.0051323771476745605
shirt,shirt_q05,B005CQAIYK,B001B14HE2,is a lighter color and has shorter sleeves [SEP] Is white with shorter sleeves.,0.1,low,5,B000BZGDDM,0.3680274486541748,0.36470016837120056,0.003327280282974243,1,0,0.18989139795303345,0.19405481219291687,-0.004163414239883423,150,139,-11,0.9987963438034058,0.0012036561965942383
shirt,shirt_q05,B005CQAIYK,B001B14HE2,is a lighter color and has shorter sleeves [SEP] Is white with shorter sleeves.,0.2,high,10,B000BZGDDM,0.3680274486541748,0.3607117533683777,0.007315695285797119,1,0,0.18989139795303345,0.19206243753433228,-0.002171039581298828,150,149,-1,0.9952295422554016,0.004770457744598389
shirt,shirt_q05,B005CQAIYK,B001B14HE2,is a lighter color and has shorter sleeves [SEP] Is white with shorter sleeves.,0.2,low,10,B000BZGDDM,0.3680274486541748,0.3609479069709778,0.0070795416831970215,1,0,0.18989139795303345,0.19267593324184418,-0.00278453528881073,150,145,-5,0.9978678822517395,0.002132117748260498
shirt,shirt_q05,B005CQAIYK,B001B14HE2,is a lighter color and has shorter sleeves [SEP] Is white with shorter sleeves.,0.3,high,15,B000BZGDDM,0.3680274486541748,0.33885136246681213,0.02917608618736267,3,2,0.18989139795303345,0.19257718324661255,-0.0026857852935791016,150,146,-4,0.979917049407959,0.020082950592041016
shirt,shirt_q05,B005CQAIYK,B001B14HE2,is a lighter color and has shorter sleeves [SEP] Is white with shorter sleeves.,0.3,low,15,B000BZGDDM,0.3680274486541748,0.361767053604126,0.006260395050048828,1,0,0.18989139795303345,0.19112515449523926,-0.0012337565422058105,150,150,0,0.996883749961853,0.0031162500381469727
shirt,shirt_q06,B00B1FCGFU,B000F5LTXW,is blue with image of dolphins [SEP] is closer to blue,0.1,high,5,B009ZYNH84,0.36572036147117615,0.35820192098617554,0.00751844048500061,2,1,0.30510371923446655,0.3172261416912079,-0.012122422456741333,24,18,-6,0.9734979271888733,0.02650207281112671
shirt,shirt_q06,B00B1FCGFU,B000F5LTXW,is blue with image of dolphins [SEP] is closer to blue,0.1,low,5,B009ZYNH84,0.36572036147117615,0.3650912046432495,0.0006291568279266357,1,0,0.30510371923446655,0.30634135007858276,-0.001237630844116211,24,24,0,0.9994012117385864,0.0005987882614135742
shirt,shirt_q06,B00B1FCGFU,B000F5LTXW,is blue with image of dolphins [SEP] is closer to blue,0.2,high,10,B009ZYNH84,0.36572036147117615,0.3572973906993866,0.00842297077178955,3,2,0.30510371923446655,0.3113816976547241,-0.006277978420257568,24,21,-3,0.9545713067054749,0.045428693294525146
shirt,shirt_q06,B00B1FCGFU,B000F5LTXW,is blue with image of dolphins [SEP] is closer to blue,0.2,low,10,B009ZYNH84,0.36572036147117615,0.3657587766647339,-3.841519355773926e-05,1,0,0.30510371923446655,0.3094300329685211,-0.004326313734054565,24,23,-1,0.9990827441215515,0.0009172558784484863
shirt,shirt_q06,B00B1FCGFU,B000F5LTXW,is blue with image of dolphins [SEP] is closer to blue,0.3,high,15,B009ZYNH84,0.36572036147117615,0.3607962131500244,0.004924148321151733,2,1,0.30510371923446655,0.3135172128677368,-0.008413493633270264,24,22,-2,0.9354532361030579,0.06454676389694214
shirt,shirt_q06,B00B1FCGFU,B000F5LTXW,is blue with image of dolphins [SEP] is closer to blue,0.3,low,15,B009ZYNH84,0.36572036147117615,0.3616575598716736,0.0040628015995025635,1,0,0.30510371923446655,0.3079863488674164,-0.002882629632949829,24,23,-1,0.9987651109695435,0.001234889030456543
shirt,shirt_q07,B0095VZ8JI,B008MHFJIQ,Is less animal-like and more wordy [SEP] has a white chest logo,0.1,high,5,B00CLXRI90,0.24381999671459198,0.2359909564256668,0.007829040288925171,1,0,0.04068934544920921,0.03778507560491562,0.0029042698442935944,2725,2842,117,0.9907788038253784,0.009221196174621582
shirt,shirt_q07,B0095VZ8JI,B008MHFJIQ,Is less animal-like and more wordy [SEP] has a white chest logo,0.1,low,5,B00CLXRI90,0.24381999671459198,0.2387951910495758,0.005024805665016174,1,0,0.04068934544920921,0.0411812886595726,-0.0004919432103633881,2725,2701,-24,0.9982467889785767,0.0017532110214233398
shirt,shirt_q07,B0095VZ8JI,B008MHFJIQ,Is less animal-like and more wordy [SEP] has a white chest logo,0.2,high,10,B00CLXRI90,0.24381999671459198,0.24096894264221191,0.002851054072380066,1,0,0.04068934544920921,0.03890828415751457,0.0017810612916946411,2725,2742,17,0.9915177822113037,0.008482217788696289
shirt,shirt_q07,B0095VZ8JI,B008MHFJIQ,Is less animal-like and more wordy [SEP] has a white chest logo,0.2,low,10,B00CLXRI90,0.24381999671459198,0.23898151516914368,0.004838481545448303,1,0,0.04068934544920921,0.04083941504359245,-0.00015006959438323975,2725,2767,42,0.9981648325920105,0.001835167407989502
shirt,shirt_q07,B0095VZ8JI,B008MHFJIQ,Is less animal-like and more wordy [SEP] has a white chest logo,0.3,high,15,B00CLXRI90,0.24381999671459198,0.2527685761451721,-0.00894857943058014,1,0,0.04068934544920921,0.03615136444568634,0.004537981003522873,2725,2794,69,0.9743713736534119,0.025628626346588135
shirt,shirt_q07,B0095VZ8JI,B008MHFJIQ,Is less animal-like and more wordy [SEP] has a white chest logo,0.3,low,15,B00CLXRI90,0.24381999671459198,0.24165193736553192,0.0021680593490600586,2,1,0.04068934544920921,0.04244665428996086,-0.001757308840751648,2725,2778,53,0.9942449927330017,0.005755007266998291
shirt,shirt_q08,B00AOJHO56,245600258X,Has a Hawaii summery feel with more colors [SEP] has more colors and more graphics,0.1,high,5,B004P8CIT4,0.3659617602825165,0.3648484945297241,0.0011132657527923584,1,0,0.27719801664352417,0.27448567748069763,0.002712339162826538,44,44,0,0.999759316444397,0.00024068355560302734
shirt,shirt_q08,B00AOJHO56,245600258X,Has a Hawaii summery feel with more colors [SEP] has more colors and more graphics,0.1,low,5,B004P8CIT4,0.3659617602825165,0.3675071895122528,-0.0015454292297363281,1,0,0.27719801664352417,0.2805927097797394,-0.00339469313621521,44,42,-2,0.9996063709259033,0.0003936290740966797
shirt,shirt_q08,B00AOJHO56,245600258X,Has a Hawaii summery feel with more colors [SEP] has more colors and more graphics,0.2,high,10,B004P8CIT4,0.3659617602825165,0.36089855432510376,0.00506320595741272,1,0,0.27719801664352417,0.2759075462818146,0.0012904703617095947,44,43,-1,0.9988692998886108,0.0011307001113891602
shirt,shirt_q08,B00AOJHO56,245600258X,Has a Hawaii summery feel with more colors [SEP] has more colors and more graphics,0.2,low,10,B004P8CIT4,0.3659617602825165,0.3693569600582123,-0.0033951997756958008,1,0,0.27719801664352417,0.2818184494972229,-0.0046204328536987305,44,41,-3,0.9990055561065674,0.0009944438934326172
shirt,shirt_q08,B00AOJHO56,245600258X,Has a Hawaii summery feel with more colors [SEP] has more colors and more graphics,0.3,high,15,B004P8CIT4,0.3659617602825165,0.35707491636276245,0.008886843919754028,1,0,0.27719801664352417,0.2722665071487427,0.004931509494781494,44,47,3,0.9973630905151367,0.0026369094848632812
shirt,shirt_q08,B00AOJHO56,245600258X,Has a Hawaii summery feel with more colors [SEP] has more colors and more graphics,0.3,low,15,B004P8CIT4,0.3659617602825165,0.3685764670372009,-0.0026147067546844482,1,0,0.27719801664352417,0.27965670824050903,-0.0024586915969848633,44,42,-2,0.9989044666290283,0.0010955333709716797
shirt,shirt_q09,B001CWN1A6,B001L0ZVIE,is gray with long sleeves [SEP] is darker,0.1,high,5,B008EF1L5G,0.37428271770477295,0.37504076957702637,-0.000758051872253418,1,0,0.3632577359676361,0.36824023723602295,-0.004982501268386841,2,2,0,0.998824954032898,0.0011750459671020508
shirt,shirt_q09,B001CWN1A6,B001L0ZVIE,is gray with long sleeves [SEP] is darker,0.1,low,5,B008EF1L5G,0.37428271770477295,0.37961089611053467,-0.005328178405761719,1,0,0.3632577359676361,0.3619961738586426,0.0012615621089935303,2,2,0,0.9993413686752319,0.0006586313247680664
shirt,shirt_q09,B001CWN1A6,B001L0ZVIE,is gray with long sleeves [SEP] is darker,0.2,high,10,B008EF1L5G,0.37428271770477295,0.3811532258987427,-0.0068705081939697266,1,0,0.3632577359676361,0.3664422631263733,-0.0031845271587371826,2,2,0,0.996544599533081,0.0034554004669189453
shirt,shirt_q09,B001CWN1A6,B001L0ZVIE,is gray with long sleeves [SEP] is darker,0.2,low,10,B008EF1L5G,0.37428271770477295,0.38110920786857605,-0.006826490163803101,1,0,0.3632577359676361,0.35765600204467773,0.005601733922958374,2,2,0,0.9975386261940002,0.002461373805999756
