prompt_id,probe_id,scenario,category,query_index,query_id,target_id,original_caption,prompt,expected_behavior,rank,image_id,score,image_path,is_original_target,top1_score,top1_top2_margin,contact_sheet
toptee_q01_s01,toptee_q01,in_domain,toptee,1524,B008BT599E,B008DO6OFK,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,Retrieve garments that satisfy the original FashionIQ modification.,1,B00751217C,0.3358194828033447,data/fashioniq/images/B00751217C.jpg,0,0.3358194828033447,0.003357410430908203,outputs/hallucination/toptee/contact_sheets/toptee_q01.jpg
toptee_q01_s01,toptee_q01,in_domain,toptee,1524,B008BT599E,B008DO6OFK,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,Retrieve garments that satisfy the original FashionIQ modification.,2,B008NBK3PA,0.3324620723724365,data/fashioniq/images/B008NBK3PA.jpg,0,0.3358194828033447,0.003357410430908203,outputs/hallucination/toptee/contact_sheets/toptee_q01.jpg
toptee_q01_s01,toptee_q01,in_domain,toptee,1524,B008BT599E,B008DO6OFK,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,Retrieve garments that satisfy the original FashionIQ modification.,3,B00CA5TTCI,0.3295994997024536,data/fashioniq/images/B00CA5TTCI.jpg,0,0.3358194828033447,0.003357410430908203,outputs/hallucination/toptee/contact_sheets/toptee_q01.jpg
toptee_q01_s01,toptee_q01,in_domain,toptee,1524,B008BT599E,B008DO6OFK,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,Retrieve garments that satisfy the original FashionIQ modification.,4,B001KWHF28,0.32833531498908997,data/fashioniq/images/B001KWHF28.jpg,0,0.3358194828033447,0.003357410430908203,outputs/hallucination/toptee/contact_sheets/toptee_q01.jpg
toptee_q01_s01,toptee_q01,in_domain,toptee,1524,B008BT599E,B008DO6OFK,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,Retrieve garments that satisfy the original FashionIQ modification.,5,B0061QIMZM,0.32410985231399536,data/fashioniq/images/B0061QIMZM.jpg,0,0.3358194828033447,0.003357410430908203,outputs/hallucination/toptee/contact_sheets/toptee_q01.jpg
toptee_q01_s02,toptee_q01,paraphrase,toptee,1524,B008BT599E,B008DO6OFK,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,"Apply these requested changes: The shirt is black with the word DADD; also, Is a regular t-shirt with different graphic.",Remain close to the in-domain result under a meaning-preserving template change.,1,B001KWHF28,0.34979379177093506,data/fashioniq/images/B001KWHF28.jpg,0,0.34979379177093506,0.010033488273620605,outputs/hallucination/toptee/contact_sheets/toptee_q01.jpg
toptee_q01_s02,toptee_q01,paraphrase,toptee,1524,B008BT599E,B008DO6OFK,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,"Apply these requested changes: The shirt is black with the word DADD; also, Is a regular t-shirt with different graphic.",Remain close to the in-domain result under a meaning-preserving template change.,2,B00CA5TTCI,0.33976030349731445,data/fashioniq/images/B00CA5TTCI.jpg,0,0.34979379177093506,0.010033488273620605,outputs/hallucination/toptee/contact_sheets/toptee_q01.jpg
toptee_q01_s02,toptee_q01,paraphrase,toptee,1524,B008BT599E,B008DO6OFK,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,"Apply these requested changes: The shirt is black with the word DADD; also, Is a regular t-shirt with different graphic.",Remain close to the in-domain result under a meaning-preserving template change.,3,B008NBK3PA,0.3358827829360962,data/fashioniq/images/B008NBK3PA.jpg,0,0.34979379177093506,0.010033488273620605,outputs/hallucination/toptee/contact_sheets/toptee_q01.jpg
toptee_q01_s02,toptee_q01,paraphrase,toptee,1524,B008BT599E,B008DO6OFK,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,"Apply these requested changes: The shirt is black with the word DADD; also, Is a regular t-shirt with different graphic.",Remain close to the in-domain result under a meaning-preserving template change.,4,B00DMNN158,0.3346549868583679,data/fashioniq/images/B00DMNN158.jpg,0,0.34979379177093506,0.010033488273620605,outputs/hallucination/toptee/contact_sheets/toptee_q01.jpg
toptee_q01_s02,toptee_q01,paraphrase,toptee,1524,B008BT599E,B008DO6OFK,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,"Apply these requested changes: The shirt is black with the word DADD; also, Is a regular t-shirt with different graphic.",Remain close to the in-domain result under a meaning-preserving template change.,5,B001KWO4YU,0.31698712706565857,data/fashioniq/images/B001KWO4YU.jpg,0,0.34979379177093506,0.010033488273620605,outputs/hallucination/toptee/contact_sheets/toptee_q01.jpg
toptee_q01_s03,toptee_q01,identity,toptee,1524,B008BT599E,B008DO6OFK,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,"Keep the garment exactly as it is; do not change its color, shape, material, or details.",Preserve the source garment; returning a visually close neighbour is preferable.,1,B000RQO9S6,0.2681422233581543,data/fashioniq/images/B000RQO9S6.jpg,0,0.2681422233581543,0.011493951082229614,outputs/hallucination/toptee/contact_sheets/toptee_q01.jpg
toptee_q01_s03,toptee_q01,identity,toptee,1524,B008BT599E,B008DO6OFK,The shirt is black with the word DADD. [SEP] Is a regular t-shirt with different graphic.,"Keep the garment exactly as it is; do not change its color, shape, material, or details.",Preserve the source garment; returning a visually close neighbour is preferable.,2,B0089XPCZI,0.2566482722759247,data/fashioniq/images/B0089XPCZI.jpg,0,0.2681422233581543,0.011493951082229614,outputs/hallucination/toptee/contact_sheets/toptee_q01.jpg
