prompt_id,probe_id,scenario,category,query_id,target_id,max_similarity,top1_top2_margin,top1_id
dress_q01_s01,dress_q01,in_domain,dress,B00ANK6ND0,B00AO1VG9Y,0.2741073966026306,0.006012558937072754,B005VAE7RG
dress_q01_s02,dress_q01,paraphrase,dress,B00ANK6ND0,B00AO1VG9Y,0.32194674015045166,0.0009546279907226562,B007EY9NEE
dress_q01_s03,dress_q01,identity,dress,B00ANK6ND0,B00AO1VG9Y,0.2921063303947449,0.013606637716293335,B0084C86K2
dress_q01_s04,dress_q01,contradiction,dress,B00ANK6ND0,B00AO1VG9Y,0.37819910049438477,0.053443193435668945,B00B2JJ15S
dress_q01_s05,dress_q01,ood,dress,B00ANK6ND0,B00AO1VG9Y,0.24631303548812866,5.97536563873291e-06,B004MMF00W
dress_q01_s06,dress_q01,unsatisfiable,dress,B00ANK6ND0,B00AO1VG9Y,0.3040826618671417,0.015737980604171753,B008BBCXB4
dress_q02_s01,dress_q02,in_domain,dress,B004O6LVY0,B002YX0KZ6,0.299224853515625,0.014079630374908447,B0046XRKNM
dress_q02_s02,dress_q02,paraphrase,dress,B004O6LVY0,B002YX0KZ6,0.31167468428611755,0.014008700847625732,B0046XRKNM
dress_q02_s03,dress_q02,identity,dress,B004O6LVY0,B002YX0KZ6,0.2651749551296234,0.014072656631469727,B005X4RALA
dress_q02_s04,dress_q02,contradiction,dress,B004O6LVY0,B002YX0KZ6,0.2990061044692993,0.02089029550552368,B00D9OXNW6
dress_q02_s05,dress_q02,ood,dress,B004O6LVY0,B002YX0KZ6,0.29958081245422363,0.008609890937805176,B007G6BODI
dress_q02_s06,dress_q02,unsatisfiable,dress,B004O6LVY0,B002YX0KZ6,0.2861010730266571,0.0030520856380462646,B007RM21BU
dress_q03_s01,dress_q03,in_domain,dress,B004PKZWNG,B009LGLIIC,0.25860917568206787,0.026172086596488953,B00CHU700E
dress_q03_s02,dress_q03,paraphrase,dress,B004PKZWNG,B009LGLIIC,0.23541361093521118,0.013531714677810669,B00CHU700E
dress_q03_s03,dress_q03,identity,dress,B004PKZWNG,B009LGLIIC,0.27859818935394287,0.027446210384368896,B007PMC8AG
dress_q03_s04,dress_q03,contradiction,dress,B004PKZWNG,B009LGLIIC,0.28764450550079346,0.02691739797592163,B001IS0PYE
dress_q03_s05,dress_q03,ood,dress,B004PKZWNG,B009LGLIIC,0.2710550129413605,0.007606297731399536,B008BYUH9Q
dress_q03_s06,dress_q03,unsatisfiable,dress,B004PKZWNG,B009LGLIIC,0.30101823806762695,0.015281319618225098,B000QSGNOI
dress_q04_s01,dress_q04,in_domain,dress,B00FBRGJKM,B00FTA0HUE,0.29879671335220337,0.025671958923339844,B008OVNLDU
dress_q04_s02,dress_q04,paraphrase,dress,B00FBRGJKM,B00FTA0HUE,0.2668607831001282,1.5735626220703125e-05,B0097B5S8C
dress_q04_s03,dress_q04,identity,dress,B00FBRGJKM,B00FTA0HUE,0.253034770488739,0.0050591230392456055,B006YZLWSE
dress_q04_s04,dress_q04,contradiction,dress,B00FBRGJKM,B00FTA0HUE,0.29424983263015747,0.014739394187927246,B008RK6XLK
dress_q04_s05,dress_q04,ood,dress,B00FBRGJKM,B00FTA0HUE,0.246966153383255,0.0,B00BCMG8A6
dress_q04_s06,dress_q04,unsatisfiable,dress,B00FBRGJKM,B00FTA0HUE,0.2557121515274048,0.00035494565963745117,B008HW2UT2
dress_q05_s01,dress_q05,in_domain,dress,B0029YQQYE,B004OLGO24,0.35428452491760254,0.010231614112854004,B00CAMJMRS
dress_q05_s02,dress_q05,paraphrase,dress,B0029YQQYE,B004OLGO24,0.3337322473526001,0.002577453851699829,B00B2FHB72
dress_q05_s03,dress_q05,identity,dress,B0029YQQYE,B004OLGO24,0.3054378926753998,0.016402333974838257,B0097IX9NQ
dress_q05_s04,dress_q05,contradiction,dress,B0029YQQYE,B004OLGO24,0.25861015915870667,0.025045961141586304,B00E8AUR2O
dress_q05_s05,dress_q05,ood,dress,B0029YQQYE,B004OLGO24,0.28947097063064575,0.0026134252548217773,B004QL3YBG
dress_q05_s06,dress_q05,unsatisfiable,dress,B0029YQQYE,B004OLGO24,0.2808477580547333,0.002646327018737793,B006ZUU7RU
dress_q06_s01,dress_q06,in_domain,dress,B00DFN4MSU,B00806NEIQ,0.2863800525665283,0.02127102017402649,B00756WDYI
dress_q06_s02,dress_q06,paraphrase,dress,B00DFN4MSU,B00806NEIQ,0.3027957081794739,0.055839478969573975,B00756WDYI
dress_q06_s03,dress_q06,identity,dress,B00DFN4MSU,B00806NEIQ,0.2724997103214264,0.004258602857589722,B00B923WCQ
dress_q06_s04,dress_q06,contradiction,dress,B00DFN4MSU,B00806NEIQ,0.28450796008110046,0.05312913656234741,B00A4FQ4PG
dress_q06_s05,dress_q06,ood,dress,B00DFN4MSU,B00806NEIQ,0.28331220149993896,0.006848841905593872,B00756WDYI
dress_q06_s06,dress_q06,unsatisfiable,dress,B00DFN4MSU,B00806NEIQ,0.27422115206718445,0.005714893341064453,B00756WDYI
dress_q07_s01,dress_q07,in_domain,dress,B002WV0S6G,B0036ME5BE,0.289969801902771,0.029037803411483765,B008KCUXLQ
dress_q07_s02,dress_q07,paraphrase,dress,B002WV0S6G,B0036ME5BE,0.2761255204677582,0.014552265405654907,B008KCUXLQ
dress_q07_s03,dress_q07,identity,dress,B002WV0S6G,B0036ME5BE,0.2822422385215759,0.018330663442611694,B007W9ZK66
dress_q07_s04,dress_q07,contradiction,dress,B002WV0S6G,B0036ME5BE,0.2479390949010849,0.012812361121177673,B00A16VH28
dress_q07_s05,dress_q07,ood,dress,B002WV0S6G,B0036ME5BE,0.24312254786491394,0.002568274736404419,B00CHH5C2K
dress_q07_s06,dress_q07,unsatisfiable,dress,B002WV0S6G,B0036ME5BE,0.27981850504875183,0.017214059829711914,B007WPH9BY
dress_q08_s01,dress_q08,in_domain,dress,B0059817JQ,B008UD2EAS,0.3072240650653839,0.023323625326156616,B0066NI17E
dress_q08_s02,dress_q08,paraphrase,dress,B0059817JQ,B008UD2EAS,0.2894083857536316,0.006658434867858887,B006J3YCHO
dress_q08_s03,dress_q08,identity,dress,B0059817JQ,B008UD2EAS,0.24700844287872314,0.0049543678760528564,B0078XZV10
dress_q08_s04,dress_q08,contradiction,dress,B0059817JQ,B008UD2EAS,0.3428865671157837,0.03316223621368408,B008RK6XLK
dress_q08_s05,dress_q08,ood,dress,B0059817JQ,B008UD2EAS,0.2911602258682251,0.003948003053665161,B007U6KS0Y
dress_q08_s06,dress_q08,unsatisfiable,dress,B0059817JQ,B008UD2EAS,0.29898470640182495,0.021558821201324463,B005LT7R1K
dress_q09_s01,dress_q09,in_domain,dress,B00B1YKB26,B00BUVAI5K,0.3001992404460907,0.00933656096458435,B00A0TSV2U
dress_q09_s02,dress_q09,paraphrase,dress,B00B1YKB26,B00BUVAI5K,0.32114025950431824,0.03804311156272888,B0010VH27C
dress_q09_s03,dress_q09,identity,dress,B00B1YKB26,B00BUVAI5K,0.28296959400177,0.01629120111465454,B006QSEC4K
dress_q09_s04,dress_q09,contradiction,dress,B00B1YKB26,B00BUVAI5K,0.3433403968811035,0.013296663761138916,B0077KMLT4
dress_q09_s05,dress_q09,ood,dress,B00B1YKB26,B00BUVAI5K,0.27946382761001587,0.014450520277023315,B007VL6D9S
dress_q09_s06,dress_q09,unsatisfiable,dress,B00B1YKB26,B00BUVAI5K,0.30203089118003845,0.03658995032310486,B005GYSR64
dress_q10_s01,dress_q10,in_domain,dress,B00BM82UCK,B0097B5ABC,0.305300772190094,0.012670725584030151,B00DXWDJT6
dress_q10_s02,dress_q10,paraphrase,dress,B00BM82UCK,B0097B5ABC,0.2967986464500427,0.005495786666870117,B00D3KBI3M
dress_q10_s03,dress_q10,identity,dress,B00BM82UCK,B0097B5ABC,0.2585109770298004,0.008616894483566284,B0084C86K2
dress_q10_s04,dress_q10,contradiction,dress,B00BM82UCK,B0097B5ABC,0.33846044540405273,0.007278561592102051,B00A16KWZ6
dress_q10_s05,dress_q10,ood,dress,B00BM82UCK,B0097B5ABC,0.25833040475845337,0.013348430395126343,B00GS6TTU2
dress_q10_s06,dress_q10,unsatisfiable,dress,B00BM82UCK,B0097B5ABC,0.2707589864730835,0.009997010231018066,B00BGK4I3S
